Sl No,CATEGORY,MIN. COURSES #,MIN. CREDITS #,COURSE CODE,COURSE TITLE,CR
93,,,,22CEC3101P,CLOUD INFRASTRUCTURE & SERVICES,
94,,,,22CPD3101A,FUNDAMENTALS OF MOBILE APPLICATION DEVELOPMENT,
95,,,,22SMD3101R,SOFTWARE VERIFICATION & VALIDATION,
96,,,,22GDU3101A,PROGRAMMING FOR GAME DEVELOPMENT,
97,,,,22DLA3101A,SYSTEM & NETWORK TRAFFIC SECURITY ANALYTICS,
98,,,,22CSB3101P,CRYPT ANALYSIS & CYBER DEFENSE,
99,,,,,,
100,Professional Elective - 2 (PE2),1,3,22CSB3203,INTRODUCTION TO BLOCKCHAIN & CRYPTO CURRENCIES,
101,,,,22SMD3202,DESIGN PATTERNS & CLEAN CODING TECHNIQUES,
102,,,,22CSB3202,NETWORK & INFRASTRUCTURE SECURITY,
103,,,,22CEC3203,FUNCTIONAL & CONCURRENT PROGRAMMING,
104,,,,22CEC3204,CLOUD DEVOPS,
105,,,,22ASS3205,AUTONOMOUS VEHICLE ECU DESIGN WITH AUTOSAR,
106,,,,22CPD3203,FRAMEWORK BASED CROSS PLATFORM APP DEVELOPMENT,
107,,,,22GDU3202,UX DESIGN,
108,,,,22SDM3202,OPINION MINING & RECOMMENDER SYSTEMS,
109,,,,22DLA3203,BLOCKCHAIN TECHNOLOGY FOR DIGITAL TRANSFORMATION,
110,,,,,,
111,Professional Elective - 3 (PE3),1,4,22CSB3304R,DIGITAL FORENSICS  ,
112,,,,22SMD3303R,CONTINUOUS DELIVERY & DEVOPS ,
113,,,,22CEC3305R,CLOUD & SERVERLESS COMPUTING  ,
114,,,,22CEC3305A,CLOUD & SERVERLESS COMPUTING  ,
115,,,,22ASS3309A,AUTONOMOUS ELECTRIC MOBILITY-SYSTEMS AND APPLICATIONS,
116,,,,22CPD3304A,SECURE MOBILE APPLICATION DEVELOPMENT,
117,,,,22GDU3303R,AR & VR APPLICATION DEVELOPMENT ,
118,,,,22SDM3304A,SOCIAL MEDIA MARKETING ANALYTICS,
119,,,,22GDU3303A,AR & VR APPLICATION DEVELOPMENT ,
120,,,,22GDU3303P,AR & VR APPLICATION DEVELOPMENT ,
121,,,,22CSB3304A,DIGITAL FORENSICS  ,
122,,,,22CEC3305P,CLOUD & SERVERLESS COMPUTING  ,
123,,,,22DLA3304A,MULTIAGENT SYSTEMS,
124,,,,22SMD3303A,CONTINUOUS DELIVERY & DEVOPS ,
125,,,,22CSB3304P,DIGITAL FORENSICS  ,
126,,,,,,
